y,x1,x2,x3
-210,-14,18,18
-39,-1,5,6
-21,5,8,15
-235,-17,17,8
66,20,5,6
-46,8,12,15
-51,-1,8,15
-53,-7,3,4
-2,10,8,12
-246,-16,17,0
-18,14,10,4
-174,-8,15,6
-61,7,11,5
-74,8,15,16
-94,8,15,6
134,20,0,15
-76,16,20,20
-61,-5,8,20
-60,8,12,8
-63,-3,9,19
-123,3,15,4
-59,-3,8,16
-97,-15,3,2
-153,-5,14,4
-132,4,17,7
-190,-8,19,18
-58,2,10,14
-176,-8,15,5
-212,-10,19,12
54,10,1,5
-135,-11,12,18
-24,8,7,1
32,10,5,14
-61,-3,6,5
-237,-11,20,7
-111,-17,4,5
-46,-14,2,20
-34,-8,0,1
-66,20,18,5
116,16,0,16
7,3,5,19
-51,9,12,10
-225,-17,17,13
-55,-13,2,13
-41,15,13,5
-91,-7,9,15
-214,-16,17,16
-49,-7,4,11
-178,-6,16,4
-38,-8,1,4
60,20,8,18
-131,13,20,0
-163,1,18,4
-61,5,13,20
-102,-10,8,12
-4,12,10,16
82,14,2,14
-79,9,13,1
-260,-20,19,13
73,15,2,7
-23,11,11,14
-47,-11,2,12
-79,15,18,11
-87,-9,5,2
-39,1,6,6
21,17,7,1
-189,-17,13,11
-221,-17,16,10
-63,-3,7,9
-86,16,17,0
-58,-18,1,19
22,20,9,4
28,20,11,17
-271,-17,20,5
-5,1,5,18
-141,1,17,10
-11,9,9,15
-94,0,12,11
-61,-7,3,0
-66,6,11,5
-207,-9,18,7
-116,8,17,5
-189,-19,12,11
-81,5,11,0
-6,14,12,20
54,2,0,20
51,13,3,6
-179,1,20,6
-17,11,9,7
-51,-9,1,0
108,16,0,12
-186,-2,18,0
-209,-11,19,16
-116,-20,3,5
-21,-5,3,15
-116,-10,8,5
64,12,4,20
-38,-6,5,19
-86,20,19,0
-104,-16,3,1
-113,-3,11,4
23,13,5,2
-166,-4,17,10
-85,-3,11,18
-133,-5,15,19
-56,0,8,10
0,4,5,13
-215,-5,20,3
70,8,0,13
-101,-11,6,5
-200,-18,12,3
-71,-1,7,0
-33,-7,1,4
-44,-10,0,1
-245,-13,20,8
-51,-9,5,20
-21,1,4,5
-151,-19,6,0
-186,-12,17,20
-59,15,15,6
-13,7,8,14
-93,-13,6,14
-126,-14,8,10
-260,-18,18,3
-51,-19,0,20
-38,-8,1,4
-38,10,13,19
0,12,8,8
-88,-20,0,4
-174,2,19,1
-25,-9,1,13
-111,-11,8,10
-71,-11,3,5
-99,1,12,6
9,17,8,0
87,13,1,14
-23,-7,0,4
-56,6,12,15
63,19,4,2
0,0,1,3
-226,-16,16,5
55,7,2,18
109,19,3,20
29,7,2,5
-158,-20,8,9
-152,-2,16,7
79,13,2,15
-67,-15,1,7
-10,-8,1,18
-77,-15,4,17
-14,10,8,6
-92,0,13,17
-121,-17,8,20
-84,-14,4,11
-148,-8,15,19
-43,17,15,9
35,11,6,18
-89,13,17,6
42,20,10,19
-91,-1,13,20
-173,1,19,4
27,15,6,4
-124,-18,7,16
-135,3,17,8
-96,4,15,15
10,16,10,13
-1,-3,3,20
-31,7,9,10
34,18,7,5
-97,3,12,2
-58,-14,1,9
-164,4,19,1
-83,9,17,19
-89,9,15,6
14,2,0,0
-157,-15,11,12
22,14,7,9
95,19,4,18
58,10,0,2
-4,-4,2,16
-214,-8,19,6
-223,-17,15,4
5,17,12,18
-61,-15,3,20
-40,14,13,8
-190,-8,16,3
69,13,0,0
-232,-18,15,2
-22,-8,0,7
-28,-8,0,4
-220,-14,18,13
-138,4,19,14
-163,-5,16,9
-29,-7,2,11
-150,-2,15,3
-61,9,12,5
14,2,3,15
-67,-11,2,2
-127,-3,15,17
-77,11,16,12
-51,13,12,0
-136,-6,11,0
-153,-7,15,14
-34,2,5,1
60,16,6,18
-249,-17,17,1
-166,-6,16,10
-60,-6,4,3
19,17,11,20
-107,-19,2,2
-139,3,19,16
-116,-4,10,0
93,15,1,12
-88,-12,4,4
-55,17,15,3
-80,-14,3,8
-120,-16,7,13
-78,20,20,9
-26,20,14,5
-161,-17,8,0
20,12,8,18
-219,-7,19,1
-145,-7,15,18
-239,-19,18,16
-69,13,17,16
-95,9,16,8
-8,-8,1,19
-90,-4,11,18
-179,-13,14,11
-148,-20,8,14
-74,-8,4,1
-43,-9,4,19
20,14,8,13
-6,-8,1,20
-56,18,18,15
-112,0,13,7
-23,-5,4,19
-41,11,13,15
-176,-12,14,10
-31,-5,3,10
-102,-6,11,17
31,19,7,1
-96,-14,4,5
54,16,5,10
26,8,2,1
-99,-5,8,1
-98,14,20,14
-109,3,13,1
-55,-17,0,13
-60,-2,6,3
-75,15,17,8
-8,0,3,9
-3,1,2,4
-100,2,12,3
-230,-16,18,13
-177,-13,13,7
11,-3,1,16
-80,0,12,18
38,20,9,12
-25,-9,1,13
-87,-13,6,17
-174,-6,18,16
-154,-10,14,16
-179,-15,14,16
-173,-5,17,9
-89,15,20,16
-14,20,13,6
-18,14,10,4
-195,-19,13,13
-112,-20,2,2
-76,0,8,0
-168,-16,12,14
-31,15,15,20
-34,-2,6,16
71,9,0,11
-13,9,10,19
-92,0,11,7
45,17,7,13
-97,3,15,17
-103,5,17,19
-129,-17,6,6
-25,3,7,13
-56,12,13,5
82,18,5,19
49,19,9,20
-20,14,11,8
-11,5,6,10
44,18,9,20
-22,2,7,17
-103,11,18,9
-56,-10,4,15
-190,-16,12,3
-15,1,6,18
-113,3,16,14
134,18,0,20
-28,-2,6,19
-136,-12,9,5
18,-4,0,17
25,7,2,3
-57,-15,0,7
27,11,6,14
-62,-4,6,7
-83,11,16,9
64,14,3,10
-27,9,11,17
-213,-11,19,14
-20,-4,2,8
-25,7,9,13
-17,5,5,2
-20,16,14,18
-3,17,10,4
-181,-11,15,10
-22,16,11,2
-213,-13,19,19
-45,1,9,18
-61,-7,3,0
-55,3,11,18
91,15,2,16
-36,-10,2,15
17,-1,0,9
-52,-2,5,2
-106,-10,8,10
16,2,3,16
-132,-20,7,17
-173,-9,14,4
-159,-13,13,16
43,17,6,7
-137,-13,11,17
-32,-2,3,2
-255,-17,20,13
-84,-8,6,6
-35,-3,3,3
-81,-9,5,5
-180,-6,18,13
-11,7,5,0
-89,-3,9,6
-236,-12,20,10
-209,-7,19,6
-125,-15,9,18
-117,13,19,2
-145,-1,15,3
-218,-20,13,4
79,17,4,15
-80,18,19,8
-74,0,9,6
58,12,2,7
-96,14,19,10
-22,4,7,12
-20,20,16,18
-149,-17,9,11
-19,11,10,11
-57,-15,2,17
46,18,6,6
-116,-12,6,0
-146,-4,13,0
-141,-5,15,15
-139,-19,5,1
77,19,3,4
-96,-14,4,5
-32,2,6,7
-171,-17,12,15
-16,0,6,20
-24,-4,4,16
-92,16,18,2
-47,-7,2,2
-106,-10,7,5
20,12,7,13
-103,-15,4,4
-176,-4,16,0
-39,3,6,1
-41,-5,5,15
-98,-6,8,4
-52,-10,4,17
-165,-3,17,8
-34,0,6,11
-172,-6,17,12
-194,-2,20,6
-47,13,12,2
-57,11,13,7
-55,5,10,8
-170,-14,11,3
-104,-2,12,11
-128,-12,9,9
-214,-4,20,1
-90,-8,8,13
-73,7,15,19
-283,-19,20,4
39,19,9,15
70,16,5,18
-156,0,16,0
-69,3,11,11
-61,17,17,10
-144,4,20,16
15,-5,0,18
0,-4,2,18
-113,13,19,4
32,4,3,19
-207,-19,12,2
-142,4,20,17
-35,1,5,3
11,5,5,16
-12,-8,0,12
-2,12,10,17
-182,-16,14,17
-169,-3,19,16
-135,-17,7,8
-72,-6,7,12
91,19,3,11
-107,-17,3,2
-205,-13,18,18
-51,7,10,5
93,15,2,17
17,7,5,14
-61,5,9,0
-230,-12,19,8
112,18,0,9
-122,-10,11,17
-119,-3,13,11
75,15,2,8
7,11,7,9
-124,0,15,11
108,16,0,12
-203,-19,13,9
75,13,3,18
71,13,1,6
-139,9,19,1
-155,-3,16,8
0,12,10,18
62,14,4,14
-68,-14,3,14
-198,-20,13,14
-71,-9,4,5
-282,-18,20,2
-166,0,18,5
58,18,4,2
-164,-6,15,6
-59,-11,4,16
110,20,0,3
4,-2,1,10
-136,-20,6,10
-135,1,15,3
-213,-13,16,4
-246,-16,17,0
-259,-17,20,11
-253,-15,19,4
105,13,0,18
63,13,3,12
-85,-19,1,8
-40,2,7,8
87,13,2,19
-172,-10,16,17
-211,-7,20,10
-83,15,17,4
-244,-10,20,1
85,13,0,8
-98,6,16,14
38,2,1,17
-210,-6,19,3
-214,-12,16,1
44,16,7,15
-96,-8,9,15
-62,2,11,17
-156,-12,14,20
-12,8,8,12
-74,-16,0,1
-97,-19,1,2
-29,-11,0,11
-38,-8,2,9
-75,13,17,13
-200,-16,15,13
-157,-1,17,7
-201,-13,18,20
-42,-10,3,17
-100,-18,5,18
-233,-17,18,14
-199,-15,16,16
77,13,3,19
-27,9,8,2
-21,11,11,15
-203,-15,16,14
-141,3,19,15
-98,4,14,9
-50,-8,4,13
-94,-10,8,16
-22,10,9,7
-197,-1,20,2
-97,5,15,12
-172,-8,15,7
-144,-12,12,16
-42,-2,7,17
62,20,8,19
-239,-17,16,1
2,6,5,9
-37,11,11,7
102,18,1,9
-126,-14,6,0
-239,-13,19,6
-149,1,16,1
-141,5,20,15
-134,4,16,1
-124,6,17,6
-62,6,13,17
89,15,0,5
59,17,6,15
19,9,4,5
-17,17,14,17
-143,5,19,9
28,6,4,17
-136,10,20,5
-125,-13,7,3
-157,7,20,2
52,14,6,19
-101,17,20,5
-41,-11,2,15
-37,17,13,2
-136,-16,9,15
-113,7,19,19
-48,-8,4,14
34,6,0,0
-129,-15,8,11
-70,-18,1,13
-26,0,7,20
-136,-16,10,20
80,18,5,18
-225,-15,19,18
-37,-11,1,12
-23,-7,3,19
-141,-9,10,0
-106,-4,13,20
50,16,6,13
-58,18,19,19
-139,-15,10,16
-132,-10,11,12
-137,-5,13,7
-65,9,14,13
-8,-4,3,19
-153,-9,15,19
-178,2,20,4
-130,8,18,3
2,12,9,14
-97,-17,3,7
-87,17,18,2
-100,-16,3,3
32,14,5,4
-135,-5,14,13
-105,7,16,8
-108,0,13,9
-119,-17,5,6
-5,1,5,18
-178,-14,13,9
11,17,9,6
-94,10,16,6
-217,-15,15,2
-78,12,16,9
-61,7,13,15
-112,-16,4,2
40,2,1,18
-27,11,11,12
-21,7,8,10
-46,14,12,0
-77,7,12,2
-215,-7,20,8
49,19,5,0
-76,-6,8,15
-97,11,18,12
-102,-14,4,2
-131,-19,6,10
-215,-15,18,18
-13,5,7,14
5,7,7,18
-88,2,12,9
-180,0,19,3
-43,9,12,14
-158,-20,10,19
-10,14,10,8
-40,4,10,18
-129,-5,13,11
-148,2,17,4
19,1,1,10
-204,-10,17,6
-4,10,7,6
-131,7,18,5
-80,-6,7,8
-230,-18,18,18
-198,-6,18,4
-90,6,15,13
46,20,7,6
-135,-17,7,8
-8,18,11,4
-177,-19,11,12
-191,-13,14,5
-34,-12,1,16
-15,-1,2,3
-1,11,6,0
-114,6,17,11
-128,10,19,4
-101,-19,2,5
-75,-9,6,13
-13,3,5,9
-86,16,17,0
-23,13,10,4
29,11,5,10
-47,-7,5,17
-97,15,20,12
-66,-4,9,20
22,16,10,19
-32,4,8,12
-137,-11,9,2
27,17,9,14
5,-5,1,18
-36,16,13,5
-137,1,16,7
-138,-14,10,14
-107,-15,4,2
-102,10,17,7
90,16,1,8
-82,6,14,12
-47,-5,6,17
-147,-5,15,12
-94,-10,6,6
28,16,6,2
-113,3,17,19
-74,-6,8,16
-226,-6,20,0
114,20,3,20
35,9,2,3
-181,-13,13,5
-88,-12,6,14
49,15,5,10
-52,10,13,12
-97,-11,8,17
65,19,6,13
51,15,6,16
35,1,1,18
4,2,3,10
-19,11,8,1
-196,-10,16,5
-129,1,15,6
-246,-16,17,0
-186,-12,13,0
86,20,5,16
-106,4,13,0
13,5,2,2
-80,-18,2,13
-82,-2,9,7
-22,10,11,17
-16,12,9,5
5,-1,2,13
-254,-16,19,6
3,11,9,17
-266,-18,18,0
6,16,8,1
40,14,4,3
-26,16,13,10
-46,16,15,10
-152,-18,7,2
-124,-6,10,1
-168,-6,17,14
-245,-17,17,3
-103,1,14,14
-171,-17,9,0
79,13,0,5
-113,-7,12,19
-203,-19,13,9
52,20,7,9
0,12,9,13
-75,17,19,13
-118,2,17,19
-79,-11,4,6
-142,-14,11,17
-252,-18,20,17
-155,-3,17,13
-219,-9,20,11
-33,-7,3,14
-156,-20,6,0
-171,-3,20,20
-41,-15,0,15
85,17,2,8
-23,17,12,4
-106,-10,9,15
20,10,4,3
-108,-2,13,14
-106,-10,9,15
-109,5,16,11
-164,6,20,1
121,17,0,16
26,6,2,6
65,13,1,3
-176,-18,9,0
-16,2,3,0
-72,10,15,12
-167,3,19,2
-32,-6,1,2
-197,-11,18,17
-103,3,16,19
-100,-10,9,18
-130,-10,10,8
-173,-11,14,9
-224,-20,13,1
-191,-13,15,10
33,11,3,2
-109,-15,5,6
22,8,5,14
22,20,10,9
27,9,3,4
52,12,2,4
20,2,2,13
-99,-17,5,16
-182,-2,19,7
96,18,3,16
-92,14,17,2
-200,-20,14,18
-109,-11,8,11
-98,10,16,4
-117,-3,13,12
49,17,5,5
-91,-9,8,15
-60,20,20,18
1,15,10,11
-69,13,16,11
-267,-19,18,2
5,19,11,8
-195,-7,20,18
5,17,12,18
-31,-11,0,10
-46,18,14,0
-19,9,9,11
-220,-14,16,3
-182,2,20,2
-232,-16,17,7
-157,-1,17,7
-130,-2,16,18
-77,5,14,17
-15,19,14,13
-88,0,12,14
-103,11,17,4
-59,11,15,16
-37,-3,6,17
-99,3,15,16
78,16,1,2
-36,12,13,15
-53,11,15,19
-164,-6,16,11
-140,-8,14,18
-179,-15,12,6
-169,3,20,6
102,14,1,19
-18,0,4,9
-220,-16,18,18
-29,-5,3,11
-49,11,11,1
-32,-12,1,17
-95,13,17,3
-34,-14,0,16
-9,15,11,11
-81,-7,5,0
6,8,6,11
-173,-5,19,19
-54,-2,8,16
-235,-15,20,18
94,18,4,20
-82,-14,4,12
